ts,"Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270","Weather forecast for the precipitation amount for the coming 1 hour at Bornholm | 9F7P/00/00/MET-Norway/forecast/precipitation_amount_acc | 128238","Weather forecast for the relativehumidity amount  at Bornholm | 9F7P/00/00/MET-Norway/forecast/relative_humidity_2m | 128254","Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286","Weather forecast for the air temperature at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_2m | 128190"
"2023-06-03 14:00:00",222.10992432,0,0.53283978,3.54178882,287.87783813
"2023-06-03 15:00:00",221.83610535,0,0.52591228,3.2232852,287.61880493
"2023-06-03 16:00:00",221.67211914,0,0.50426012,2.96471334,287.25695801
"2023-06-03 17:00:00",226.84379578,0,0.47665715,2.63290095,286.74298096
"2023-06-03 18:00:00",227.00845337,0,0.47722226,2.21887922,285.86001587
"2023-06-03 19:00:00",229.86720276,0,0.5737648,1.26660168,284.31484985
"2023-06-03 20:00:00",244.56271362,0,0.65651351,0.93662673,282.49935913
"2023-06-03 21:00:00",251.60186768,0,0.71106398,0.9071582,281.44577026
"2023-06-03 22:00:00",265.21102905,0,0.76340181,1.00935519,281.01605225
"2023-06-03 23:00:00",256.40628052,0,0.81387806,1.23483026,280.64758301
"2023-06-04 00:00:00",227.11082458,0,0.76099163,1.23777878,280.71783447
"2023-06-04 01:00:00",209.22660828,0,0.8576408,1.25777674,280.10195923
"2023-06-04 02:00:00",203.47659302,0,0.90895635,1.25225699,279.7824707
"2023-06-04 03:00:00",219.88288879,0,0.94423491,1.13870478,279.68554688
"2023-06-04 04:00:00",219.89898682,0,0.91306067,0.96505719,281.01696777
"2023-06-04 05:00:00",211.37512207,0,0.82628351,1.10766435,283.70187378
"2023-06-04 06:00:00",230.74234009,0,0.66638637,2.17505383,286.46142578
"2023-06-04 07:00:00",238.12539673,0,0.54097402,2.13905144,288.18313599
"2023-06-04 08:00:00",239.89064026,0,0.49893573,2.37827063,289.206604
"2023-06-04 09:00:00",237.81300354,0,0.47471964,2.3235991,290.12393188
"2023-06-04 10:00:00",235.40640259,0,0.44429338,2.78045177,290.92306519
"2023-06-04 11:00:00",229.02377319,0,0.44240105,3.01095295,291.16171265
"2023-06-04 12:00:00",229.95358276,0,0.42567724,3.08795047,291.19940186
"2023-06-04 13:00:00",239.62539673,0,0.46197778,3.13570023,291.07165527
"2023-06-04 14:00:00",235.19633484,0,0.48376733,3.12061667,290.49960327
"2023-06-04 15:00:00",229.01625061,0,0.4779385,3.05699563,290.05172729
"2023-06-04 16:00:00",227.75006104,0,0.4826993,3.08912039,289.49057007
"2023-06-04 17:00:00",232.570755,0,0.52225006,2.67254615,288.83743286
"2023-06-04 18:00:00",238.17193604,0,0.57973003,2.2731607,287.94052124
"2023-06-04 19:00:00",243.43751526,0,0.65346098,1.64851975,286.51800537
"2023-06-04 20:00:00",243.36720276,0,0.71156722,1.48760629,284.92080688
"2023-06-04 21:00:00",246.57821655,0,0.71352053,1.22471225,284.00802612
"2023-06-04 22:00:00",252.21897888,0,0.71484888,0.9116165,283.23846436
"2023-06-04 23:00:00",240.17999268,0,0.72571307,0.90637648,282.66677856
"2023-06-05 00:00:00",263.67984009,0,0.97334802,0.93013889,281.69137573
"2023-06-05 01:00:00",268.79721069,0,0.97397363,0.76756787,281.73703003
"2023-06-05 02:00:00",251.39151001,0,0.96893859,0.93200165,281.6751709
"2023-06-05 03:00:00",262.8359375,0,0.96661967,0.904064,281.65127563
"2023-06-05 04:00:00",271.81295776,0,0.94435662,0.78114712,282.91790771
"2023-06-05 05:00:00",266.00805664,0,0.85927284,1.08998382,285.66888428
"2023-06-05 06:00:00",253.67973328,0,0.68146187,1.47862244,287.95175171
"2023-06-05 07:00:00",233.6415863,0,0.57071304,1.87506855,289.43966675
"2023-06-05 08:00:00",232.3046875,0,0.47876322,2.15416527,290.45687866
"2023-06-05 09:00:00",233.85946655,0,0.45776671,2.05651522,291.24752808
"2023-06-05 10:00:00",236.73443604,0,0.44507128,1.99020422,292.0161438
"2023-06-05 11:00:00",236.94532776,0,0.42717269,2.3894794,292.52804565
"2023-06-05 12:00:00",234.07830811,0,0.41453829,2.70892787,292.72885132
"2023-06-05 13:00:00",230.64862061,0,0.4370144,2.44402599,292.58294678
"2023-06-05 14:00:00",235.31277466,0,0.45097598,2.21624017,292.53283691
"2023-06-05 15:00:00",237.05500793,0,0.43806693,2.14280581,292.4621582
"2023-06-05 16:00:00",234.14091492,0,0.43394709,1.95321786,292.08660889
"2023-06-05 17:00:00",210.34422302,0,0.46444976,1.74136508,291.3765564
"2023-06-05 18:00:00",181.30473328,0,0.52939153,1.77315176,289.39553833
"2023-06-05 19:00:00",176.88298035,0,0.61514628,0.97259003,287.37310791
"2023-06-05 20:00:00",175.98509216,0,0.71493906,0.61105609,285.13110352
"2023-06-05 21:00:00",156.45323181,0,0.76509488,0.47058636,283.79577637
"2023-06-05 22:00:00",146.02371216,0,0.7592358,0.57938296,283.14993286
"2023-06-05 23:00:00",152.36729431,0,0.74081874,0.71415812,282.87631226
"2023-06-06 00:00:00",222.85180664,0,0.93286633,0.51241803,282.64779663
"2023-06-06 01:00:00",199.13301086,0,0.95068842,1.10793948,282.29241943
"2023-06-06 02:00:00",207.14100647,0,0.95955372,1.0490998,281.97613525
"2023-06-06 03:00:00",214.46890259,0,0.91132128,1.13724458,281.93899536
"2023-06-06 04:00:00",248.50863647,0,0.83183837,1.06954515,283.46600342
"2023-06-06 05:00:00",265.71173096,0,0.7619065,0.80740047,286.17678833
"2023-06-06 06:00:00",261.43759155,0,0.60052907,1.54793048,289.45465088
"2023-06-06 07:00:00",268.2421875,0,0.54779434,1.49860752,291.35281372
"2023-06-06 08:00:00",272.35974121,0,0.48651451,1.49167168,292.79406738
"2023-06-06 09:00:00",257.42987061,0,0.47832021,1.6029222,293.66833496
"2023-06-06 10:00:00",251.46139526,0,0.46358013,1.93514538,294.18078613
"2023-06-06 11:00:00",245.62503052,0,0.43176535,2.3326292,294.57138062
"2023-06-06 12:00:00",253.00167847,0,0.40951785,2.41657543,294.74075317
"2023-06-06 13:00:00",265.53161621,0,0.38798767,2.18314409,294.79406738
"2023-06-06 14:00:00",265.32821655,0,0.36145264,1.93650126,294.66534424
"2023-06-06 15:00:00",261.21096802,0,0.3622005,2.17589259,294.33636475
"2023-06-06 16:00:00",273.0241394,0,0.38295266,2.06211948,293.65319824
"2023-06-06 17:00:00",293.61047363,0,0.46062011,2.04939079,292.54272461
"2023-06-06 18:00:00",299.71951294,0,0.59244102,1.84737003,291.16201782
"2023-06-06 19:00:00",224.96949768,0,0.65460575,0.98488075,289.29418945
"2023-06-06 20:00:00",197.20404053,0,0.79600924,1.17442524,286.83908081
"2023-06-06 21:00:00",203.2893219,0,0.94365394,1.00807631,285.35656738
"2023-06-06 22:00:00",212.93008423,0,0.934636,0.97587293,284.50479126
"2023-06-06 23:00:00",231.64080811,0,0.87419611,0.93321341,284.35122681
"2023-06-07 00:00:00",181.23486328,0,0.99019396,0.78654873,284.2026062
"2023-06-07 01:00:00",211.15820312,0,0.9948023,0.52615136,284.11218262
"2023-06-07 02:00:00",243.53140259,0,0.99451256,0.77221495,283.9972229
