Model_Label_Hour,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Confusion Matrix,Hour,Label
Random Forest_G1_22,Random Forest,0.58,0.5791135232926279,0.58,0.5677500000000001,0.6049779205138498,"[[39 14]
 [28 19]]",22,G1
SVM Linear_G1_22,SVM Linear,0.56,0.5624969987995198,0.56,0.5603521408563426,0.606985146527499,"[[29 24]
 [20 27]]",22,G1
SVM Gaussian_G1_22,SVM Gaussian,0.56,0.57011988424969,0.56,0.5568205539943798,0.6019670814933761,"[[25 28]
 [16 31]]",22,G1
KNeighbors_G1_22,KNeighbors,0.57,0.584539295392954,0.57,0.5202621082621083,0.5873143315937375,"[[46  7]
 [36 11]]",22,G1
Logistic Regression_G2_22,Logistic Regression,0.63,0.691750305997552,0.63,0.6475728791352767,0.6344246031746031,"[[17 11]
 [26 46]]",22,G2
Random Forest_G2_22,Random Forest,0.72,0.6721739130434782,0.72,0.6592953929539295,0.6825396825396826,"[[ 4 24]
 [ 4 68]]",22,G2
SVM Linear_G2_22,SVM Linear,0.58,0.6668589743589743,0.58,0.6013921901528013,0.6557539682539683,"[[17 11]
 [31 41]]",22,G2
SVM Gaussian_G2_22,SVM Gaussian,0.7,0.7849358974358975,0.7,0.7152801358234295,0.7420634920634921,"[[23  5]
 [25 47]]",22,G2
KNeighbors_G2_22,KNeighbors,0.69,0.5987096774193549,0.69,0.6167272727272728,0.7155257936507936,"[[ 2 26]
 [ 5 67]]",22,G2
Logistic Regression_G3_22,Logistic Regression,0.56,0.56,0.56,0.56,0.5913461538461539,"[[26 22]
 [22 30]]",22,G3
Random Forest_G3_22,Random Forest,0.55,0.5485714285714286,0.55,0.5397590361445783,0.5849358974358974,"[[19 29]
 [16 36]]",22,G3
SVM Linear_G3_22,SVM Linear,0.55,0.5512605042016807,0.55,0.5501350135013502,0.587139423076923,"[[27 21]
 [24 28]]",22,G3
SVM Gaussian_G3_22,SVM Gaussian,0.55,0.5565936337329476,0.55,0.5465179378956888,0.5821314102564102,"[[31 17]
 [28 24]]",22,G3
KNeighbors_G3_22,KNeighbors,0.54,0.5379411764705883,0.54,0.5246666666666667,0.5679086538461537,"[[17 31]
 [15 37]]",22,G3
Logistic Regression_G1_23,Logistic Regression,0.63,0.6304967948717949,0.63,0.6301854636591478,0.6475311120032117,"[[34 19]
 [18 29]]",23,G1
Random Forest_G1_23,Random Forest,0.58,0.5815735794074793,0.58,0.5607470288624787,0.6248494580489763,"[[41 12]
 [30 17]]",23,G1
SVM Linear_G1_23,SVM Linear,0.61,0.6105128205128204,0.61,0.6101954887218045,0.6525491770373344,"[[33 20]
 [19 28]]",23,G1
SVM Gaussian_G1_23,SVM Gaussian,0.53,0.5345652173913044,0.53,0.5296709670967097,0.5867121637896427,"[[26 27]
 [20 27]]",23,G1
KNeighbors_G1_23,KNeighbors,0.61,0.6186706349206349,0.61,0.59024,0.6168205539943798,"[[43 10]
 [29 18]]",23,G1
Logistic Regression_G2_23,Logistic Regression,0.61,0.6127403846153846,0.61,0.610823032861019,0.6084848484848485,"[[27 18]
 [21 34]]",23,G2
Random Forest_G2_23,Random Forest,0.63,0.6307142857142857,0.63,0.6152,0.6555555555555556,"[[19 26]
 [11 44]]",23,G2
SVM Linear_G2_23,SVM Linear,0.56,0.574296205630355,0.56,0.5589435774309723,0.6088888888888888,"[[29 16]
 [28 27]]",23,G2
SVM Gaussian_G2_23,SVM Gaussian,0.52,0.5305050505050505,0.52,0.52,0.5513131313131313,"[[26 19]
 [29 26]]",23,G2
KNeighbors_G2_23,KNeighbors,0.55,0.5371621621621621,0.55,0.5229282672780872,0.5515151515151515,"[[13 32]
 [13 42]]",23,G2
Logistic Regression_G3_23,Logistic Regression,0.57,0.5834604576475312,0.57,0.5739802665039161,0.55,"[[35 25]
 [18 22]]",23,G3
Random Forest_G3_23,Random Forest,0.59,0.5850707850707851,0.59,0.587012987012987,0.59,"[[41 19]
 [22 18]]",23,G3
SVM Linear_G3_23,SVM Linear,0.56,0.5846153846153846,0.56,0.5642512077294686,0.5470833333333334,"[[32 28]
 [16 24]]",23,G3
SVM Gaussian_G3_23,SVM Gaussian,0.54,0.5438423645320196,0.54,0.5417114510128153,0.55625,"[[36 24]
 [22 18]]",23,G3
KNeighbors_G3_23,KNeighbors,0.62,0.6035714285714285,0.62,0.5702380952380953,0.5889583333333333,"[[53  7]
 [31  9]]",23,G3
